abs;names;conc
0.607;X22912;25
0.564;X22912;25
0.603;X22912;25
0.623;X22912;25
0.1;pos;pos
0.624;X22913;0.5
0.571;X22913;0.5
0.562;X22913;0.5
0.571;X22913;0.5
0.119;pos;pos
0.597;X22913;5
0.54;X22913;5
0.514;X22913;5
0.505;X22913;5
0.554;X22913;5
0.108;pos;pos
0.822;X22913;10
0.776;X22913;10
0.703;X22913;10
0.736;X22913;10
0.752;X22913;10
0.103;pos;pos
0.703;X22913;25
0.703;X22913;25
0.623;X22913;25
0.62;X22913;25
0.687;X22913;25
0.848;neg;neg
0.785;X22914;0.5
0.671;X22914;0.5
0.625;X22914;0.5
0.568;X22914;0.5
0.514;X22914;0.5
0.78;neg;neg
0.587;X22914;5
0.603;X22914;5
0.587;X22914;5
0.597;X22914;5
0.563;X22914;5
0.762;neg;neg
0.771;X22914;10
0.746;X22914;10
0.807;X22914;10
0.8;X22914;10
0.726;X22914;10
0.757;neg;neg
0.766;X22914;25
0.695;X22914;25
0.669;X22914;25
0.749;X22914;25
0.693;X22914;25
0.826;neg;neg
0.557;X22915;0.5
0.683;X22915;0.5
0.655;X22915;0.5
0.697;X22915;0.5
0.78;X22915;0.5
0.113;pos;pos
0.652;X22915;5
0.644;X22915;5
0.621;X22915;5
0.69;X22915;5
0.715;X22915;5
0.128;pos;pos
0.798;X22915;10
0.835;X22915;10
0.823;X22915;10
0.889;X22915;10
0.888;X22915;10
0.151;pos;pos
0.8;X22915;25
0.821;X22915;25
0.737;X22915;25
0.828;X22915;25
0.834;X22915;25
0.118;pos;pos
0.751;X22916;0.5
0.725;X22916;0.5
0.702;X22916;0.5
0.764;X22916;0.5
0.771;X22916;0.5
0.127;pos;pos
0.519;X22916;5
0.501;X22916;5
0.588;X22916;5
0.328;X22916;5
0.64;X22916;5
0.962;neg;neg
0.889;X22916;10
0.817;X22916;10
0.854;X22916;10
0.788;X22916;10
0.911;X22916;10
0.977;neg;neg
0.83;X22916;25
0.692;X22916;25
0.813;X22916;25
0.784;X22916;25
0.794;X22916;25
0.976;neg;neg
0.713;X22917;0.5
0.692;X22917;0.5
0.685;X22917;0.5
0.625;X22917;0.5
0.666;X22917;0.5
0.918;neg;neg
0.498;X22917;5
0.388;X22917;5
0.348;X22917;5
0.379;X22917;5
0.345;X22917;5
0.868;neg;neg
0.15;pos;pos
0.151;pos;pos
0.151;pos;pos
0.144;pos;pos
0.131;pos;pos
1.147;neg;neg
1.142;neg;neg
1.154;neg;neg
1.075;neg;neg
1.048;neg;neg
0.892;X22921;0.5
1.01;X22921;0.5
0.985;X22921;0.5
0.858;X22921;0.5
0.151;pos;pos
0.765;X22921;5
0.819;X22921;5
0.846;X22921;5
0.798;X22921;5
0.895;X22921;5
0.135;pos;pos
0.811;X22921;10
0.83;X22921;10
0.82;X22921;10
0.812;X22921;10
0.83;X22921;10
0.14;pos;pos
0.606;X22921;25
0.652;X22921;25
0.727;X22921;25
0.701;X22921;25
0.803;X22921;25
0.131;pos;pos
0.901;X22922;0.5
0.931;X22922;0.5
0.814;X22922;0.5
0.853;X22922;0.5
0.82;X22922;0.5
0.14;pos;pos
0.85;X22922;5
0.82;X22922;5
0.844;X22922;5
0.834;X22922;5
0.853;X22922;5
1.045;neg;neg
0.824;X22922;10
0.855;X22922;10
0.812;X22922;10
0.843;X22922;10
0.87;X22922;10
1.087;neg;neg
0.726;X22922;25
0.725;X22922;25
0.855;X22922;25
0.824;X22922;25
0.812;X22922;25
1.09;neg;neg
0.839;X22923;0.5
0.829;X22923;0.5
0.901;X22923;0.5
0.895;X22923;0.5
0.872;X22923;0.5
0.993;neg;neg
0.705;X22923;5
0.717;X22923;5
0.747;X22923;5
0.756;X22923;5
0.765;X22923;5
0.887;neg;neg
0.729;X22923;10
0.774;X22923;10
0.783;X22923;10
0.766;X22923;10
0.784;X22923;10
0.122;pos;pos
0.459;X22923;25
0.575;X22923;25
0.547;X22923;25
0.509;X22923;25
0.579;X22923;25
0.144;pos;pos
0.675;X22924;0.5
0.734;X22924;0.5
0.788;X22924;0.5
0.777;X22924;0.5
0.754;X22924;0.5
0.136;pos;pos
0.726;X22924;5
0.718;X22924;5
0.645;X22924;5
0.62;X22924;5
0.664;X22924;5
0.115;pos;pos
0.818;X22924;10
0.761;X22924;10
0.809;X22924;10
0.784;X22924;10
0.712;X22924;10
0.117;pos;pos
0.444;X22924;25
0.418;X22924;25
0.377;X22924;25
0.308;X22924;25
0.344;X22924;25
0.896;neg;neg
0.806;X22926;0.5
0.811;X22926;0.5
0.767;X22926;0.5
0.76;X22926;0.5
0.748;X22926;0.5
0.886;neg;neg
0.644;X22926;5
0.632;X22926;5
0.616;X22926;5
0.664;X22926;5
0.665;X22926;5
0.82;neg;neg
0.554;X22926;10
0.486;X22926;10
0.478;X22926;10
0.432;X22926;10
0.461;X22926;10
0.767;neg;neg
0.177;X22926;25
0.176;X22926;25
0.171;X22926;25
0.178;X22926;25
0.18;X22926;25
0.744;neg;neg
0.806;X22927;0.5
0.826;X22927;0.5
0.815;X22927;0.5
0.874;X22927;0.5
0.72;X22927;0.5
0.124;pos;pos
0.67;X22927;5
0.661;X22927;5
0.686;X22927;5
0.66;X22927;5
0.69;X22927;5
0.123;pos;pos
0.466;X22927;10
0.473;X22927;10
0.402;X22927;10
0.439;X22927;10
0.464;X22927;10
0.141;pos;pos
0.206;X22927;25
0.189;X22927;25
0.191;X22927;25
0.183;X22927;25
0.2;X22927;25
0.114;pos;pos
0.722;X22928;0.5
0.715;X22928;0.5
0.728;X22928;0.5
0.736;X22928;0.5
0.715;X22928;0.5
0.115;pos;pos
0.545;X22928;5
0.445;X22928;5
0.41;X22928;5
0.545;X22928;5
0.499;X22928;5
0.905;neg;neg
0.303;X22928;10
0.27;X22928;10
0.248;X22928;10
0.236;X22928;10
0.306;X22928;10
0.845;neg;neg
0.152;X22928;25
0.163;X22928;25
0.156;X22928;25
0.152;X22928;25
0.172;X22928;25
0.839;neg;neg
0.728;X22929;0.5
0.679;X22929;0.5
0.628;X22929;0.5
0.62;X22929;0.5
0.657;X22929;0.5
0.76;neg;neg
0.572;X22929;5
0.519;X22929;5
0.457;X22929;5
0.495;X22929;5
0.496;X22929;5
0.724;neg;neg
0.488;X22929;10
0.501;X22929;10
0.492;X22929;10
0.446;X22929;10
0.422;X22929;10
0.12;pos;pos
0.245;X22929;25
0.235;X22929;25
0.23;X22929;25
0.238;X22929;25
0.241;X22929;25
0.137;pos;pos
0.817;X22930;0.5
0.832;X22930;0.5
0.833;X22930;0.5
0.863;X22930;0.5
0.816;X22930;0.5
0.138;pos;pos
0.785;X22930;5
0.733;X22930;5
0.701;X22930;5
0.704;X22930;5
0.119;pos;pos
0.711;X22930;10
0.526;X22930;10
0.674;X22930;10
0.619;X22930;10
0.729;X22930;10
0.119;pos;pos
0.658;X22930;25
0.603;X22930;25
0.546;X22930;25
0.584;X22930;25
0.678;X22930;25
0.858;neg;neg
0.74;X22931;0.5
0.743;X22931;0.5
0.684;X22931;0.5
0.678;X22931;0.5
0.716;X22931;0.5
0.926;neg;neg
0.552;X22931;5
0.529;X22931;5
0.479;X22931;5
0.476;X22931;5
0.464;X22931;5
0.849;neg;neg
0.3;X22931;10
0.238;X22931;10
0.251;X22931;10
0.242;X22931;10
0.263;X22931;10
0.837;neg;neg
0.159;X22931;25
0.148;X22931;25
0.153;X22931;25
0.146;X22931;25
0.148;X22931;25
0.691;neg;neg
0.807;X22932;0.5
0.785;X22932;0.5
0.849;X22932;0.5
0.805;X22932;0.5
0.811;X22932;0.5
0.652;X22932;5
0.67;X22932;5
0.668;X22932;5
0.644;X22932;5
0.683;X22932;5
0.264;X22932;10
0.296;X22932;10
0.303;X22932;10
0.308;X22932;10
0.381;X22932;10
0.132;X22932;25
0.156;X22932;25
0.156;X22932;25
0.153;X22932;25
0.16;X22932;25
0.736;X22933;0.5
0.735;X22933;0.5
0.726;X22933;0.5
0.781;X22933;0.5
0.777;X22933;0.5
0.515;X22933;5
0.461;X22933;5
0.408;X22933;5
0.46;X22933;5
0.471;X22933;5
0.206;X22933;10
0.196;X22933;10
0.198;X22933;10
0.215;X22933;10
0.247;X22933;10
0.131;X22933;25
0.129;X22933;25
0.128;X22933;25
0.133;X22933;25
0.163;X22933;25
0.746;pos;pos
0.81;pos;pos
0.881;pos;pos
0.117;neg;neg
0.11;neg;neg
0.121;neg;neg
